"","PT","AU","TI","SO","VL","IS","SI","BP","EP","DI","PD","PY","AB","ZB","TC","Z8","ZR","ZS","Z9","SN","EI","UT","ER","PM","AR","MA","SU","OI","RI","BE","CT","CY","CL","SP","BN","SE","BA","D2","S1","GP","Z1","AK","HO","PN","DB","C1","AU_UN","SR"
"DAVID FELIX, 2018, ","J","DAVID FELIX","DIABETES PROFESSIONAL CARE CONFERENCE HIGHLIGHTS","PRACTICAL DIABETES","35","1",NA,NA,NA,NA,"JAN-FEB 2018",2018,"AT THE DIABETES PROFESSIONAL CARE CONFERENCE HELD IN NOVEMBER 2017, DELEGATES WERE INFORMED ABOUT THE CURRENT STATE OF DIABETES CARE IN ENGLAND AND HOW DIGITAL INNOVATION, THE OPTIMISATION OF DRUG TREATMENTS AND THE EARLY PREVENTION OF TYPE 2 DIABETES MELLITUS WERE KEY AREAS FOR FUTURE IMPROVEMENT. FELIX DAVID HERE REPORTS ON SOME OF THE CONFERENCE HIGHLIGHTS.","0",0,"0","0","0","0","2047-2897","2047-2900","ISI000424655100008","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"DAVID FELIX, 2018, "
"MIRRA NICOLE, 2018, ","J","MIRRA NICOLE;MORRELL ERNEST;FILIPIAK DANIELLE","FROM DIGITAL CONSUMPTION TO DIGITAL INVENTION: TOWARD A NEW CRITICAL THEORY AND PRACTICE OF MULTILITERACIES","THEORY INTO PRACTICE","57","1",NA,"12","19","10.1080/00405841.2017.1390336","2018",2018,"THE TEACHING OF MEDIA AND DIGITAL LITERACIES HAS GAINED INCREASED ATTENTION IN THE 20YEARS FOLLOWING THE NEW LONDON GROUP'S LANDMARK PUBLICATION. FROM APPROACHES URGING THE STUDY OF POPULAR CULTURE TO CALLS FOR YOUTH LED SOCIAL MEDIA REVOLUTION, THERE IS NO SHORTAGE OF APPROACHES. YET SCANT ATTENTION IS OFFERED TOWARD ARTICULATING A NEW AND COMPREHENSIVE THEORY OF PEDAGOGY AND PRODUCTION THAT ACKNOWLEDGES THE CHANGING TOOLS AND TECHNOLOGIES AT YOUNG PEOPLE'S DISPOSAL, CONCEPTUALIZES YOUNG PEOPLE AS MEDIA PRODUCERS, AND APPLIES THESE DEVELOPMENTS TO TODAY'S COMPLEX CLASSROOM CONTEXT. WE AIM TO ARTICULATE A NEW CRITICAL THEORY OF MULTILITERACIES THAT ENCOMPASSES 4 TYPES OF DIGITAL ENGAGEMENT: (A) CRITICAL DIGITAL CONSUMPTION, (B) CRITICAL DIGITAL PRODUCTION, (C) CRITICAL DISTRIBUTION, AND (D) CRITICAL DIGITAL INVENTION. WE MAKE THE ARGUMENT THAT A NEW CRITICAL THEORY OF MULTILITERACIES NEEDS TO ACCOUNT FOR EACH OF THESE TYPES OF DIGITAL ENGAGEMENT BUT THAT, ULTIMATELY, WE MUST MOVE BEYOND THEORIZING OUR YOUTH AS PASSIVE CONSUMERS OR EVEN CRITICAL USERS OF DIGITAL TECHNOLOGIES TOWARD THE PROJECT OF FACILITATING YOUTH COMMUNITIES OF DIGITAL INNOVATION.","0",0,"0","0","0","0","0040-5841","1543-0421","ISI000423682000003","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"MIRRA NICOLE, 2018, "
"KUEHL RALF, 2017, ","J","KUEHL RALF","DIGITAL INNOVATION PLAYBOOK. THE INDISPENSABLE WORKBOOK FOR FOUNDERS, CREATORS AND MANAGERS","BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS","69","6",NA,"736","737",NA,"NOV-DEC 2017",2017,NA,"0",0,"0","0","0","0","0340-5370",NA,"ISI000426019600007","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"KUEHL RALF, 2017, "
"COHEN BOYD, 2017, ","J","COHEN BOYD;ERNESTO AMOROS JOSE;LUNDY LAWRENCE","THE GENERATIVE POTENTIAL OF EMERGING TECHNOLOGY TO SUPPORT STARTUPS AND NEW ECOSYSTEMS","BUSINESS HORIZONS","60","6","SI","741","745","10.1016/J.BUSHOR.2017.06.004","NOV-DEC 2017",2017,NA,"0",1,"0","0","0","1","0007-6813","1873-6068","ISI000414819000001","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"COHEN BOYD, 2017, "
"BEATTIE ANNETTE, 2017, ","J","BEATTIE ANNETTE;FENERTY KATE;HOWARD AMY;CHANCE ALISON","UTILISING DIGITAL INNOVATION TO EMPOWER PEOPLE AFFECTED BY CANCER","ASIA-PACIFIC JOURNAL OF CLINICAL ONCOLOGY","13",NA,"SI","208","208",NA,"NOV 2017",2017,NA,"0",0,"0","0","0","0","1743-7555","1743-7563","ISI000413954500359","",NA,NA,"376","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"BEATTIE ANNETTE, 2017, "
"DREYER MARC, 2017, ","J","DREYER MARC;CHEFNEUX LUC;GOLDBERG ANNE;VON HEIMBURG JOACHIM;PATRIGNANI NORBERTO;SCHOFIELD MONICA;SHILLING CHRIS","RESPONSIBLE INNOVATION: A COMPLEMENTARY VIEW FROM INDUSTRY WITH PROPOSALS FOR BRIDGING DIFFERENT PERSPECTIVES","SUSTAINABILITY","9","10",NA,NA,NA,"10.3390/SU9101719","OCT 2017",2017,"THIS PAPER PRESENTS A CONSENSUS VIEW ON RESPONSIBLE INNOVATION BY A GROUP OF INDUSTRY PRACTITIONERS, EACH WITH HIGH LEVEL MANAGEMENT EXPERIENCE IN DRIVING INNOVATION FROM WITHIN INDUSTRIAL COMPANIES OPERATING IN DIFFERENT SECTORS. THE AUTHORS ARGUE THAT, WHILE A SUBSTANTIAL BODY OF ACADEMIC RESEARCH ON RESPONSIBLE RESEARCH & INNOVATION (RRI) OF POTENTIAL INTEREST NOW EXISTS, IT IS FAILING TO HAVE IMPACT IN THE INDUSTRIAL COMMUNITY, WHERE IT IS UNDERSTOOD TO BE PARTIALLY TARGETED, BECAUSE MANY OF THE CONCEPTS, TOOLS AND METHODOLOGIES ARE NOT ALIGNED WITH CURRENT INDUSTRIAL PRACTICES. THIS IS LEADING TO A MISCONCEPTION AS TO WHERE INDUSTRY STANDS ON TOPICS ADDRESSED BY RRI AND DIFFICULTIES IN FORWARDING A DIALOGUE THAT IS MEANINGFUL TO BOTH PARTIES. THE NEED TO DISTINGUISH BETWEEN PROCESSES RELATING TO RESEARCH AND INNOVATION IS ARGUED, TOGETHER WITH THE VIEW THAT RESEARCH INTO RRI SHOULD ENCOMPASS MORE OF THE ON-GOING WORK BEING CARRIED OUT IN RELATED FIELDS SUCH AS THE ROLE OF COMPANIES IN SOCIETY, THE DEBATE AROUND CORPORATE SOCIAL RESPONSIBILITY (CSR) AND CORPORATE SHARED VALUE (CSV), RESPONSIBLE DIGITAL INNOVATION, THE ELEMENTS OF ETHICAL LEADERSHIP, SUSTAINABLE INVESTMENT POLICIES AND WORK ON ESTABLISHING SOCIAL IMPACT FACTORS AS WELL AS PUBLIC CONCERNS ON INNOVATION. DIRECTIONS FOR AN ALIGNMENT OF THE TERMINOLOGY AND CONCEPTS ARE ALSO PROPOSED. THIS PAPER IS TO BE VIEWED AS AN ATTEMPT AT BRIDGING PERSPECTIVES WITH THE AIM OF FINDING COMMON GROUND TO DEVELOP THE FIELD OF RRI FURTHER SO THAT IT PROVIDES EFFECTIVE CONCEPTS, TOOLS AND METHODOLOGIES TO GUIDE INDUSTRIAL INNOVATION TOWARDS BETTER SOCIETAL OUTCOMES.","0",2,"0","0","0","2","2071-1050",NA,"ISI000414896200050","",NA,"1719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"DREYER MARC, 2017, "
"NYASULU PETER SUWIRAKWENDA, 2017, ","J","NYASULU PETER SUWIRAKWENDA;MURRAY JILL;PEROVIC OLGA;KOORNHOF HENDRIK","LABORATORY INFORMATION SYSTEM FOR REPORTING ANTIMICROBIAL RESISTANT ISOLATES FROM ACADEMIC HOSPITALS, SOUTH AFRICA","JOURNAL OF INFECTION IN DEVELOPING COUNTRIES","11","9",NA,"705","718","10.3855/JIDC.7159","SEP 2017",2017,"INTRODUCTION: WE AIMED TO EVALUATE THE APPROPRIATENESS OF DIGITAL INNOVATION SOUTH AFRICA (DISA)-BASED LABORATORY INFORMATION SYSTEM (LIS) FOR ASSESSING THE PREVALENCE, PATTERNS AND TRENDS OF ANTIMICROBIAL RESISTANCE, AND ASSOCIATED DEMOGRAPHIC FACTORS. METHODOLOGY: A RETROSPECTIVE ANALYSIS WAS CONDUCTED ON ROUTINE DATA OF BLOOD CULTURE ISOLATES OF STAPHYLOCOCCUS AUREUS, KLEBSIELLA PNEUMONIAE, AND PSEUDOMONAS AERUGINOSA. THESE ISOLATES WERE COLLECTED BY THE NATIONAL HEALTH LABORATORY SERVICES BETWEEN JULY 1, 2005 AND DECEMBER 31, 2009 AT SEVEN TERTIARY PUBLIC HOSPITALS. FACTORS ASSOCIATED WITH ANTIMICROBIAL RESISTANCE WERE ANALYSED USING MULTIVARIATE LOGISTIC REGRESSION. RESULTS: INFORMATION ON 9969 ISOLATES WAS AVAILABLE, OF WHICH 3942 (39.5%), 4466 (44.8%) AND 1561 (15.7%) WERE STAPHYLOCOCCUS AUREUS, KLEBSIELLA PNEUMONIAE, AND PSEUDOMONAS AERUGINOSA, RESPECTIVELY. REPORTING OF RESISTANCE ACROSS ANTIBIOTICS TESTED WAS HIGHEST IN PATIENT AGE GROUP LESS THAN 5 YEARS OLD. METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS WAS 39% ON AVERAGE. THERE WAS A SIGNIFICANT INCREASING TREND OF KLEBSIELLA PNEUMONIAE RESISTANCE TO CIPROFLOXACIN (32.6% TO 64.9%, P < 0.001), COTRIMOXAZOLE (67.5% TO 81.6%, P < 0.001) AND CEFOTAXIME-CEFTRIAXONE (55.5% TO 73.2%, P < 0.001) OVER THE STUDY PERIOD. PSEUDOMONAS AERUGINOSA RESISTANCE TO MEROPENEM SHOWED A SIGNIFICANT INCREASING TREND FROM 2006 (27.5%) TO 2009 (53.9%) (P < 0.001). AGE GROUP < 5 YEARS, FEMALE GENDER, HOSPITAL LOCATION, YEAR OF INFECTION WERE SIGNIFICANTLY ASSOCIATED WITH ANTIMICROBIAL RESISTANCE. CONCLUSIONS: THE PERCENTAGES OF ANTIMICROBIAL RESISTANCE WERE HIGH AND SHOWED A SIGNIFICANT INCREASING TREND AMONG INDIVIDUAL AGENTS OVER THE DURATION OF THE STUDY E.G. CIPROFLOXACIN, COTRIMOXAZOLE AMONG OTHERS. CONTINUED SURVEILLANCE OF ANTIMICROBIAL RESISTANCE AMONG BLOODSTREAM HOSPITAL-ACQUIRED INFECTIONS SHOULD BE STRENGTHENED.","0",0,"0","0","0","0","1972-2680",NA,"ISI000416068600006","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"NYASULU PETER SUWIRAKWENDA, 2017, "
"POCE ANTONELLA, 2017, ","J","POCE ANTONELLA;AGRUSTI FRANCESCO;RE MARIA ROSARIA","MOOC DESIGN AND HERITAGE EDUCATION. DEVELOPING SOFT AND WORK-BASED SKILLS IN HIGHER EDUCATION STUDENTS","JOURNAL OF E-LEARNING AND KNOWLEDGE SOCIETY","13","3",NA,"97","107","10.20368/1971-8829/1385","SEP 2017",2017,"THE PRESENT PAPER DESCRIBES ONE OF THE PILOT ACTIVITIES FORESEEN BY THE ERASMUS+ PROJECT DICHE (DIGITAL INNOVATION IN CULTURAL AND HERITAGE EDUCATION IN THE LIGHT OF 21ST CENTURY LEARNING). THE ABOVE MENTIONED PILOT ACTIVITY WAS CARRIED OUT AT THE UNDERGRADUATE COURSE IN EDUCATIONAL SCIENCES - UNIVERSITY ROMA TRE, AS AN INTERNAL TRAINING MODULE FOR THE CONCEPTION, IMPLEMENTATION AND EVALUATION OF MOOC COURSES IN MUSEUM EDUCATION. MAIN OBJECTIVE OF THE MODULE WAS TO DEVELOP DESIGN AND REALISATION SKILLS IN EDUCATIONAL SCIENCE STUDENTS. THOSE ENGAGED IN THE MODULE WERE ASKED TO CREATE CULTURAL AND HERITAGE EDUCATION COURSES FOR PRIMARY SCHOOL IN TRAINING AND IN SERVICE TEACHERS. THE TWO MAIN PILLARS OF THE DICHE PILOT, ""MOOCS CONCEPTION AND DELIVERY"" AND ""HERITAGE EDUCATION"", ARE IN LINE WITH THE MOST RECENT NATIONAL AND INTERNATIONAL FIELD LITERATURE RESEARCH AND WITH THE ITALIAN EDUCATION SYSTEM DIRECTIONS, AIMING AT INTEGRATING MUSEUM EDUCATION IN PRIMARY SCHOOL CURRICULA AND A MORE AWARE USE OF TECHNOLOGY, IN ORDER TO DEVELOP PIVOTAL SKILLS IN ACTIVE CITIZENSHIP BUILDING. THE PRESENT PAPER PRESENTS THE METHODOLOGY ADOPTED AND THE RESULTS COLLECTED DURING THE TRAINING MODULE CARRIED OUT.","0",0,"0","0","0","0","1826-6223","1971-8829","ISI000416687100009","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"POCE ANTONELLA, 2017, "
"KALBASKA NADZEYA, 2017, ","J","KALBASKA NADZEYA;JANOWSKI TOMASZ;ESTEVEZ ELSA;CANTONI LORENZO","WHEN DIGITAL GOVERNMENT MATTERS FOR TOURISM: A STAKEHOLDER ANALYSIS","INFORMATION TECHNOLOGY & TOURISM","17","3",NA,"315","333","10.1007/S40558-017-0087-2","SEP 2017",2017,"DESPITE THE IMPORTANCE OF GOVERNANCE PROCESSES FOR DESTINATION MANAGEMENT AND THE IMPACT OF DIGITAL TECHNOLOGY ON SUCH PROCESSES, SURPRISINGLY LITTLE ACADEMIC RESEARCH HAS EXPLORED THE USE OF DIGITAL TECHNOLOGY TO TRANSFORM PUBLIC GOVERNANCE IN THE TOURISM SECTOR. THIS CONCEPTUAL PAPER FILLS THIS GAP BY CONDUCTING A DIGITAL GOVERNMENT STAKEHOLDER ANALYSIS FOR THE TOURISM SECTOR USING THE DIGITAL GOVERNMENT EVOLUTION MODEL AS ITS THEORETICAL FOUNDATION. THE ANALYSIS IDENTIFIES SIX RELEVANT STAKEHOLDER GROUPS: GOVERNMENTS, BUSINESSES, NON-PROFITS, CITIZENS, VISITORS AND EMPLOYEES. IT EXAMINES SIX TYPES OF TECHNOLOGY-ENABLED INTERACTIONS BETWEEN GOVERNMENT AND OTHER STAKEHOLDERS: GOVERNMENT-TO-GOVERNMENT, GOVERNMENT-TOBUSINESS, GOVERNMENT-TO-NON-PROFIT, GOVERNMENT-TO-CITIZEN, GOVERNMENT-TO-VISITOR AND GOVERNMENT-TO-EMPLOYEE. THESE INTERACTIONS ARE ILLUSTRATED WITH REAL-LIFE EXAMPLES. THE ANALYSIS CONTRIBUTES TO IDENTIFYING PRESSURES ON TOURISM AUTHORITIES AND DETERMINING HOW THE AUTHORITIES RESPOND TO SUCH PRESSURES, HOW THEY INNOVATE THEIR OPERATIONS AND POLICIES WITH DIGITAL TECHNOLOGIES, AND HOW THESE INNOVATIONS ARE INSTITUTIONALIZED OVER TIME. THE RESULTS CONTRIBUTE TO BUILDING THE THEORETICAL FOUNDATIONS FOR SECTOR-SPECIFIC DIGITAL GOVERNMENT AND ENABLE STRATEGIC DISCUSSION ON THE USE OF COMMERCIALLY VIABLE AND SOCIALLY RESPONSIBLE DIGITAL INNOVATION TO ADVANCE THE TOURISM SECTOR.","0",0,"0","0","0","0","1098-3058","1943-4294","ISI000413822000003","",NA,NA,NA,NA,"CANTONI, LORENZO/0000-0001-5644-6501; KALBASKA,;   NADZEYA/0000-0003-0822-6680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"KALBASKA NADZEYA, 2017, "
"HANELT ANDRE, 2017, ","J","HANELT ANDRE;BUSSE SEBASTIAN;KOLBE LUTZ M","DRIVING BUSINESS TRANSFORMATION TOWARD SUSTAINABILITY: EXPLORING THE IMPACT OF SUPPORTING IS ON THE PERFORMANCE CONTRIBUTION OF ECO-INNOVATIONS","INFORMATION SYSTEMS JOURNAL","27","4","SI","463","502","10.1111/ISJ.12130","JUL 2017",2017,"INFORMATION SYSTEMS (IS) CAN FOSTER BUSINESS TRANSFORMATION TOWARD SUSTAINABILITY ON A LARGE SCALE BY SUPPORTING GREEN TECHNOLOGIES, THEREBY CREATING HYBRID PHYSICAL-DIGITAL SOLUTIONS THAT ARE ABLE TO FULFIL ORGANIZATIONAL PERFORMANCE REQUIREMENTS AND CONTRIBUTE TO SUSTAINABLE BUSINESS PRACTICES. THESE SUPPORTING IS PROVIDE AN ALTERNATIVE PATH TO CORPORATE SUSTAINABILITY RATHER THAN JUST CONTRIBUTING TO THE GREENING' OF BUSINESS PRACTICES BY AIMING TO IMPROVE THE ORGANIZATIONAL PERFORMANCE IMPACT OF ENVIRONMENTAL ADVANTAGEOUS INNOVATIONS, WHICH IN TURN FOSTERS THEIR ADOPTION. EMPLOYING A MULTIPLE CASE STUDY COMPRISING EIGHT COMPANIES THAT HAVE IMPLEMENTED SUCH ECO-INNOVATIONS (SPECIFICALLY ELECTRIC VEHICLES) IN THEIR BUSINESS PROCESSES, OUR FINDINGS INDICATE THAT THE ORGANIZATIONAL PERFORMANCE CONTRIBUTION OF ECO-INNOVATIONS IS IMPROVED WHEN COMPLEMENTED BY SUPPORTING IS. THIS EFFECT IS ACHIEVED BY (1) ENHANCING THE EFFICIENCY OF THE BUSINESS PROCESSES IN WHICH THE ECO-INNOVATIONS ARE DEPLOYED, THUS INCREASING ECO-EFFICIENCY, AND (2) ENABLING NEW FUNCTIONALITIES, PROCESSES AND BUSINESS MODELS THAT HELP ACHIEVE ORGANIZATIONAL SUSTAINABILITY GOALS, THEREBY DRIVING ECO-EFFECTIVENESS. WITH THESE TWO ASPECTS, WE ADD TWO FUNCTIONAL AFFORDANCES - TECHNOLOGICAL FLEXIBILITY AND DIGITAL ECO-INNOVATION - TO THE EXISTING KNOWLEDGE BASE OF GREEN IS AND POINT TO AN ELABORATED ROLE OF IS IN SUSTAINABILITY TRANSFORMATION.","0",0,"0","0","0","0","1350-1917","1365-2575","ISI000403480500004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HANELT ANDRE, 2017, "
"DONG JOHN QI, 2017, ","J","DONG JOHN QI;NETTEN JORK","INFORMATION TECHNOLOGY AND EXTERNAL SEARCH IN THE OPEN INNOVATION AGE: NEW FINDINGS FROM GERMANY","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE","120",NA,NA,"223","231","10.1016/J.TECHFORE.2016.12.021","JUL 2017",2017,"IN LIGHT OF THE FACT THAT FIRMS INCREASINGLY USE INFORMATION TECHNOLOGY (IT) FOR OPEN INNOVATION INITIATIVES, THIS PAPER EXPLORES HOW IT INVESTMENT INFLUENCES THEIR EXTERNAL SEARCH FROM MULTIPLE PERSPECTIVES: BREADTH, AND DEPTH ALONG VERTICAL, HORIZONTAL AND SOCIETAL DIMENSIONS. THE BASIC PREMISE IS THAT IT INVESTMENT HAS INVERTED U-SHAPED RELATIONSHIPS WITH EXTERNAL SEARCH BREADTH AND DEPTH. ON THE ONE HAND, IT INVESTMENT ENHANCES FIRMS' ABILITY TO ACQUIRE MORE INFORMATION FROM EXTERNAL KNOWLEDGE SOURCES. ON THE OTHER HAND, HOWEVER, IT INVESTMENT CAN BRING ABUNDANT INFORMATION FROM EXTERNAL KNOWLEDGE SOURCES TO FIRMS, MAKING IT INCREASINGLY DIFFICULT TO WIDELY AND DEEPLY USE THE INFORMATION FROM AVAILABLE SOURCES. BEYOND A CERTAIN THRESHOLD, EXCESSIVE IT INVESTMENT IS LIKELY TO CAUSE INFORMATION OVERLOAD, FORCING FIRMS WITH LIMITED ATTENTION TO NARROW DOWN AND GO LESS DEEPLY INTO THEIR EXTERNAL KNOWLEDGE SOURCES. BY USING A LARGE-SCALE PANEL DATA SET FROM GERMAN FIRMS, WE FIND EMPIRICAL EVIDENCE CORROBORATING OUR THEORY. (C) 2017 ELSEVIER INC ALL RIGHTS RESERVED.","0",0,"0","0","0","0","0040-1625","1873-5509","ISI000403994000019","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"DONG JOHN QI, 2017, "
"MICHARD F, 2017, ","J","MICHARD F;GAN T J;KEHLET H","DIGITAL INNOVATIONS AND EMERGING TECHNOLOGIES FOR ENHANCED RECOVERY PROGRAMMES","BRITISH JOURNAL OF ANAESTHESIA","119","1",NA,"31","39","10.1093/BJA/AEX140","JUL 2017",2017,"ENHANCED RECOVERY PROGRAMMES (ERPS) ARE INCREASINGLY USED TO IMPROVE POST-SURGICAL RECOVERY. HOWEVER, COMPLIANCE TO VARIOUS COMPONENTS OF ERPS-A KEY DETERMINANT OF SUCCESS-REMAINS SUB-OPTIMAL. EMERGING TECHNOLOGIES HAVE THE POTENTIAL TO HELP PATIENTS AND CAREGIVERS TO IMPROVE COMPLIANCE WITH ERPS. PREOPERATIVE PHYSICAL CONDITION, A MAJOR DETERMINANT OF POSTOPERATIVE OUTCOME, COULD BE OPTIMIZED WITH THE USE OF TEXT MESSAGES (SMS) OR DIGITAL APPLICATIONS (APPS) DESIGNED TO FACILITATE SMOKING CESSATION, MODIFY PHYSICAL ACTIVITY, AND BETTER MANAGE HYPERTENSION AND DIABETES. SEVERAL NON-INVASIVE HAEMODYNAMIC MONITORING TECHNIQUES AND DECISION SUPPORT TOOLS ARE NOW AVAILABLE TO INDIVIDUALIZE PERIOPERATIVE FLUID MANAGEMENT, A KEY COMPONENT OF ERPS. OBJECTIVE NOCICEPTIVE ASSESSMENT MAY HELP TO RATIONALIZE THE USE OF PAIN MEDICATIONS, INCLUDING OPIOIDS. WEARABLE SENSORS DESIGNED TO MONITOR CARDIO-RESPIRATORY FUNCTION MAY HELP IN THE EARLY DETECTION OF CLINICAL DETERIORATION DURING THE POSTOPERATIVE RECOVERY AND TO ADDRESS 'FAILURE TO RESCUE'. ACTIVITY TRACKERS MAY BE USEFUL TO MONITOR EARLY MOBILIZATION, ANOTHER MAJOR ELEMENT OF ERPS. FINALLY, ELECTRONIC CHECKLISTS HAVE BEEN DEVELOPED TO ENSURE THAT NONE OF THE ABOVE-MENTIONED ERP ELEMENTS IS OMITTED DURING THE SURGICAL JOURNEY. BY OPTIMIZING COMPLIANCE TO THE MULTIPLE COMPONENTS OF ERPS, DIGITAL INNOVATIONS, NON-INVASIVE TECHNIQUES AND WEARABLE SENSORS HAVE THE POTENTIAL TO MAGNIFY THE CLINICAL AND ECONOMIC BENEFITS OF ERPS. AMONG THE GROWING NUMBER OF TECHNICAL INNOVATIONS, STUDIES ARE NEEDED TO CLARIFY WHICH TOOLS AND SOLUTIONS HAVE REAL CLINICAL VALUE AND ARE COST-EFFECTIVE.","0",2,"0","0","0","2","0007-0912","1471-6771","ISI000404260400010","","28605474",NA,NA,NA,"KEHLET, HENRIK/0000-0002-2209-1711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"MICHARD F, 2017, "
"MARTIN PABLO MILLARES, 2017, ","J","MARTIN PABLO MILLARES","DIGITAL TECHNOLOGY DIGITAL INNOVATION IS NEEDED TO DEAL WITH COMPLEXITY OF CURRENT MEDICINE","BMJ-BRITISH MEDICAL JOURNAL","357",NA,NA,NA,NA,"10.1136/BMJ.J2750","JUN 6 2017",2017,NA,"0",0,"0","0","0","0","1756-1833",NA,"ISI000403221000008","",NA,"J2750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"MARTIN PABLO MILLARES, 2017, "
"ROSZKOWSKA DOROTA, 2017, ","J","ROSZKOWSKA DOROTA","EXTERNAL KNOWLEDGE SOURCING AND INNOVATION PROCESSES IN MODERN ECONOMIC ENVIRONMENT","INTERNATIONAL JOURNAL OF MANAGEMENT AND ECONOMICS","53","2",NA,"39","56","10.1515/IJME-2017-0011","JUN 2017",2017,"IN AN OPEN AND DIGITAL ECONOMY WHERE ICTS, GLOBAL NETWORKS AND INNOVATION SYSTEMS PLAY A KEY ECONOMIC ROLE, KNOWLEDGE USED BY COMPANIES IS INCREASINGLY GATHERED USING DIFFERENT EXTERNAL SOURCES. RAPIDLY CHANGING TECHNOLOGY ENABLES COMPANIES TO USE NEW WAYS TO INNOVATE. NEW INNOVATION PROCESSES PERMIT COMPANIES TO REDUCE RISK AND THE COSTS OF INNOVATION. NEW PARADIGMS, CALLED OPEN INNOVATION AND CO-INNOVATION, ALLOW ORGANIZATIONS TO REMAIN INNOVATIVE IN A RAPIDLY CHANGING ENVIRONMENT. THE OBJECTIVES OF THIS PAPER ARE: TO PROVIDE A BETTER UNDERSTANDING OF OPEN INNOVATION AND CO-INNOVATION PARADIGMS AND TO SUGGEST INSTRUMENTS FOR ORGANIZATIONS TO BENEFIT FROM CO-INNOVATION ECOSYSTEM. INTERNET EMPOWERED ICT TOOLS CAN BE THE FIRST STEP FOR AN ORGANIZATION TO INITIATE IMPLEMENTATION OF A DIGITAL STRATEGY. TO GAIN INCREMENTAL, TACIT, ORGANIZATIONAL KNOWLEDGE OR MARKETING SKILLS, A NEW INNOVATION STRATEGY SHOULD INVOLVE NETWORKING THROUGH SOCIAL NETWORKS AND VIRTUAL COMMUNITIES. DIGITALIZATION OF INNOVATION ACTIVITIES CONSTITUTES A NEW IMPORTANT ROLE FOR INNOVATION NETWORKS AND ECOSYSTEMS, INCLUDING GLOBAL INNOVATION NETWORKS, AS KNOWLEDGE AND TECHNOLOGY ARE NO LONGER OWNED BY A SINGLE FIRM OR COUNTRY. THIS PAPER ATTEMPTS TO PREPARE THE THEORETICAL BACKGROUND, FOR EMPIRICAL STUDIES ON THE IMPACT OF NEW INNOVATION PROCESSES ON COMPANY INNOVATION AND THEIR COMPETITIVE ADVANTAGES. THE STUDY IS DESCRIPTIVE AND ANALYTICAL, BUILDING ON THE THEORY AND EMPIRICAL RESULTS OF PREVIOUS STUDIES ON NEW, DIGITAL INNOVATION MODELS.","0",0,"0","0","0","0","2299-9701",NA,"ISI000424584200004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"ROSZKOWSKA DOROTA, 2017, "
"HORST JOHN, 2017, ","J","HORST JOHN;WELTY NICKLAUS;SCHNOBRICH MATTHEW;SINHA PRASOON;KULKARNI POONAM R","DIGITAL INNOVATION: THE NEXT DISRUPTIVE BUT TRANSFORMATIVE REMEDIATION FRONTIER","GROUND WATER MONITORING AND REMEDIATION","37","3",NA,"19","27","10.1111/GWMR.12222","SUM 2017",2017,NA,"0",0,"0","0","0","0","1069-3629","1745-6592","ISI000411766700011","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HORST JOHN, 2017, "
